"","Admission Date","Company Name","ICB Industry","ICB Super-Sector","Country of Incorporation","World Region","Market","International Issuer","Company Market Cap (£m)"
"","14/11/2007","MINDS + MACHINES GROUP LIMITED","Technology","Technology","British Virgin Islands","North America","AIM ","Yes","71.68"
"","16/10/2006","MINERAL & FINANCIAL INVESTMENTS LIMITED","Financials","Financial Services ","Cayman Islands","North America","AIM ","Yes","3.86"
"","02/05/2007","MINOAN GROUP PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","AIM ","No","7.83"
"","07/12/2005","MI-PAY GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","0.49"
"","21/12/2004","MIRADA PLC","","","United Kingdom","Europe","AIM ","No","12.03"
"","19/12/2017","MIRRIAD ADVERTISING PLC","Technology","Technology","United Kingdom","Europe","AIM ","No","31.65"
"","15/04/2003","MITCHELLS & BUTLERS PLC","Consumer Discretionary","Travel and Leisure","United Kingdom","Europe","MAIN MARKET ","No","1,716.75"
"","29/11/1988","MITIE GROUP PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","486.34"
"","06/04/2004","MITON GLOBAL OPPORTUNITIES PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","78.83"
"","30/04/2015","MITON UK MICROCAP TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","71.24"
"","05/09/1989","MITSUBISHI ELECTRIC CORPORATION","Industrials","Industrial Goods and Services","Japan","Asia","MAIN MARKET ","Yes","12,774.42"
"","19/12/2014","MJ GLEESON PLC","Consumer Discretionary","Consumer Products and Services","United Kingdom","Europe","MAIN MARKET ","No","530.13"
"","12/12/2019","MJ HUDSON GROUP PLC","Financials","Financial Services ","Jersey","Europe","AIM ","No","97.64"
"","15/06/2016","MKANGO RESOURCES LTD","Basic Materials","Basic Resources","Canada","North America","AIM ","Yes","10.84"
"","11/07/2000","MOBEUS INCOME & GROWTH 2 VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","51.33"
"","08/03/1999","MOBEUS INCOME & GROWTH 4 VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","53.56"
"","08/10/2004","MOBEUS INCOME & GROWTH VCT PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","74.09"
"","15/02/2006","MOBILE STREAMS PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","0.55"
"","08/03/2006","MOBILE TORNADO GROUP PLC","Telecommunications","Telecommunications","United Kingdom","Europe","AIM ","No","12.61"
"","05/07/2007","MOBILITYONE LIMITED","Industrials","Industrial Goods and Services","Jersey","Europe","AIM ","No","3.45"
"","01/10/2018","MOBIUS INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","98.81"
"","12/06/2007","MODERN WATER PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","AIM ","No","1.03"
"","03/07/2007","MONDI PLC","Basic Materials","Basic Resources","United Kingdom","Europe","MAIN MARKET ","No","7,506.66"
"","31/07/2007","MONEYSUPERMARKET.COM GROUP PLC","Technology","Technology","United Kingdom","Europe","MAIN MARKET ","No","1,746.56"
"","29/01/1952","MONKS INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","2,105.96"
"","13/05/1981","MONTANARO EUROPEAN SMALLER C. TST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","194.94"
"","16/03/1995","MONTANARO UK SMALLER COMPANIES INVESTMENT TRUST PLC","Financials","Financial Services ","United Kingdom","Europe","MAIN MARKET ","No","236.01"
"","02/10/1946","MORGAN ADVANCED MATERIALS PLC","Industrials","Industrial Goods and Services","United Kingdom","Europe","MAIN MARKET ","No","890.35"
"","28/10/1994","MORGAN SINDALL GROUP PLC","Industrials","Construction and Materials","United Kingdom","Europe","MAIN MARKET ","No","833.38"
"","30/11/1972","MORRISON (WM) SUPERMARKETS PLC","Consumer Staples ","Personal Care, Drug and Grocery Stores ","United Kingdom","Europe","MAIN MARKET ","No","4,375.60"
"","05/05/2016","MORSES CLUB PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","166.02"
"","14/11/2014","MORTGAGE ADVICE BUREAU (HOLDINGS) PLC","Financials","Financial Services ","United Kingdom","Europe","AIM ","No","407.74"
"","20/03/2014","MOSMAN OIL AND GAS LIMITED","Energy","Energy","Australia","Pacific","AIM ","Yes","2.17"
"","09/07/1947","MOSS BROS GROUP PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","20.24"
"","08/01/1986","MOTHERCARE PLC","Consumer Discretionary","Retail ","United Kingdom","Europe","MAIN MARKET ","No","58.09"
"","02/04/2015","MOTIF BIO PLC","Health Care ","Health Care  ","United Kingdom","Europe","AIM ","No","0.63"
